subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Bio,Immune System,"During many infections, the lymph nodes are the initial site of adaptive immune system activation. As such, lymph nodes normally contain large numbers of:",microglia.,B cells.,neutrophils.,erythrocytes.,B,"*The lymph nodes contain large populations of B cells, cells that can be activated during the adaptive immune response. 
*The other cells listed are not part of the adaptive immune system and are  predominantly housed in other areas of the body.","*The lymph nodes contain large populations of B cells, which make up a large portion of the adaptive response."
Bio,Immune System,All of the following are parts of the lymphatic system EXCEPT:,tonsils.,the spleen.,the heart.,lymph nodes.,C,"*The heart is not part of the lymphatic system in that it does not house a substantial population of immune cells at any time. 
*The tonsils, spleen, and lymph nodes house lymphocytes and are thus secondary lymphoid organs.",*The heart does not house a substantial population of lymphocytes and is not a part of the lymphatic system.
Bio,Immune System,All of the following are functions of the lymphatic system EXCEPT:,transportation of fluids from extracellular spaces throughout the body before deposition in the circulatory system.,absorption of digested fats from the intestines.,site of activation and maturation of immune cells. ,synthesis and elimination of urea.,D,"*The liver is primarily responsibly for the synthesis of urea while the excretory system is responsible for its elimination. 
*The lymphatic system does absorb and transport digested fats, collect fluid that has escaped the circulatory system, and act as the site of activation and maturation for cells of the adaptive immune system.","*The liver synthesizes urea.
*The excretory system eliminates it."
Bio,Immune System,Antibodies do all of the following EXCEPT:,neutralize toxins.,digest proteins.,opsonize pathogens.,activate complement.,B,"*Antibodies do not have intrinsic protease activity. 
*However, they can neutralize toxins, target pathogens for phagocytosis (opsonization), and activate the complement system.",*Antibodies do not have protease activity. 
Bio,Eukaryotic Cell,Cells placed in a hypertonic solution will likely:,shrink.,swell.,remain unchanged.,divide.,A,"*When the cells are transferred to a hypertonic solution, the cells will shrink. 
*The solute concentration is higher outside of the cell. 
*Water will rush out of the cells in order to equalize the concentrations (the membrane is not permeable to solute).","*The cells will shrink.
*The solute concentration is higher outside the cell (hypertonic) so water rushes out to equalize concentrations."
Bio,Eukaryotic Cell,"
What will likely occur immediately after a cell is placed into a hypotonic solution?
   I. The number of water molecules within the cell will increase.
   II. The number of water molecules within the cell will decrease.
   III. The number of solute particles within the cell will increase.  
   IV. The number of solute particles within the cell will decrease.",I only,II only,I and III only,II and IV only,A,"*When a cell is placed in a hypotonic solution, water will rush into the cell. 
*Water will move down its concentration gradient (lower concentration within the cell). 
*Cell membranes act as though they are permeable to water but are relatively impermeable to solute. ","*Water will flow down its concentration gradient into the cell.
*The cell membrane is relatively impermeable to solute."
Bio,Bacteria,Antibiotics can affect bacterial cells by doing all of the following EXCEPT:,disrupting cell wall synthesis.,inhibiting transcription or translation.,disrupting membrane function.,damaging the cell nucleus.,D,"*Bacteria do not have nuclei so antibiotics will not affect them in this manner. 
*Antibiotics target specific aspects of prokaryotic cell processes that do not overlap with eukaryotic cells.
*Antibiotics can damage cell walls and membranes as well as inhibit both transcription and translation. ",*Bacteria do not have nuclei.
Bio,Respiratory System,All of the following will have an effect on the resistance to air flow in the lungs EXCEPT:,an increase in lung volume.,bronchodilation.,changes in the partial pressure of oxygen.,pulmonary edema.,C,"*Changes in the partial pressure of oxygen would be unlikely to affect the resistance of air flow in the lungs. 
*The movement of air in the lungs is primarily affected by structural changes in the lungs, of which the other answer choices are examples.","*Changes in the partial pressure of O2 would not affect lung resistance.
*Air resistance is primarily dependent on lung structure."
Bio,Circulatory System,Which of the following will result in an increase of hemoglobin's oxygen saturation?,A decrease in pH,A decrease in temperature,A decrease in the partial pressure of carbon dioxide,A decrease in the respiratory rate,C,"*Decreasing the partial pressure of carbon dioxide would result in greater hemoglobin-oxygen binding. 
*Decreased partial pressure of CO2 results in a higher blood pH. 
*Low pH decreases hemoglobin's affinity for oxygen, and high pH reverses this effect. 
*All of the other possibilities listed would be likely to decrease hemoglobin's oxygen saturation.","*A decreased partial pressure of CO2 will increase O2 saturation.
*The other options listed would likely decrease O2 saturation."
Bio,Circulatory System,"In the body, the majority of the carbon dioxide produced in the tissues is transported to the lungs:",as dissolved bicarbonate ions.,bound to hemoglobin.,dissolved in the plasma.,as glucose.,A,"*The majority of the carbon dioxide produced in the tissues is transported to the lungs as dissolved bicarbonate ions. 
*Carbon dioxide is not very soluble in water so it reacts with water to form carbonic acid (catalyzed by carbonic anhydrase), which then dissociates:
CO2 + H2O <--> H2CO3 <--> H+ + HCO3-
*This bicarbonate is transported to the lungs, converted back into carbon dioxide, and exhaled.","*The majority of the CO2 produced in the body is transported as bicarbonate ions.
*The CO2 reacts with water to form H2CO3, which then disassociates."
Bio,Circulatory System,All of the following will result in an increase in blood pressure EXCEPT:,an increase in blood volume.,vasoconstriction.,increased blood clotting.,a decrease in peripheral resistance.,D,"*Decreasing peripheral resistance (i.e. vasodilation) will result in a decrease in blood pressure. 
*The heart has to work against a lesser resistance and therefore generates a lesser blood pressure.
*The other options listed will increase blood pressure.",*Vasodilation will result in a lower blood pressure.
Bio,Circulatory System,"At any particular time, which of the following contains the majority of the blood located in the circulatory system?
",Veins and venules,Arteries and arterioles,Heart,Capillaries,A,"*The majority of the blood found in the circulatory system is located in the venules and veins. They have flexible walls that are able to freely expland.
*The arteries have muscular walls that work to maintain blood pressure but have a small diameter. 
*Though the heart provides the force that circulates the blood but is not very large in size.",*The veins and venules contain the majority of the blood in the circulatory system at any time.
Bio,Cellular Metabolism,Which of the following stages of respiration can occur in anaerobic conditions?,Pyruvate decarboxylation,The Krebs Cycle,Electron transport chain/oxidative phosphorylation,Fermentation,D,"*In the absence of oxygen, fermentation occurs in order to reform to coenzyme NAD+. 
*NAD+ is necessary for glycolysis to occur and is reduced to NADH during the process. 
*Fermentation converts pyruvate to ethanol is some bacteria and yeasts or to lactic acid in muscle cells.","*In anaerobic conditions, fermentation occurs in order to reform the coenzyme NAD+."
Bio,Cellular Metabolism,During what stage of aerobic cellular respiration is the majority of ATP synthesized?,Glycolysis,Krebs Cycle,Oxidative phosphorylation,Fermentation,C,"*The majority of the ATP produced during aerobic cellular respiration is produced through oxidative phosphorylation. 
*Oxidative phosphorylation uses the proton gradient created by the electron transport chain to phosphorylate ADP to ATP. 
*Oxidative phosphorylation produces 34 ATP (as compared to the 2 ATP produced from glycolysis) from each molecule of glucose.",Oxidative phosphorylation produces 34 ATP (of the total 36 ATP) for each molecule of glucose during aerobic respiration.
Bio,Cellular Metabolism,"In the body, glucose is primarily stored as:",glycogen.,pyruvate.,acetone.,carbon dioxide.,A,"*In the body, glucose is primarily stored as glycogen, a glucose polymer formed through alpha linkages between glucose molecules. 
*This polymerization of glucose is often associated with the liver.","*Glucose is primarily stored of glycogen, a polymer of glucose."
Bio,Endocrine System,"Insulin is released when blood glucose levels (BGL) are elevated. As a result, insulin regulates BGL by promoting which of the following pathways?",Glycolysis,Gluconeogenesis,Fermentation,Beta oxidation,A,"*Insulin is released in response to an elevated blood glucose level (BGL) and promotes glycolysis. 
*Glycolysis consumes some of this excess glucose and works to return the BGL to normal levels. 
*The other choices listed would not directly decrease BGL.","*Insulin promotes glycolysis, decreasing the levels of glucose in the blood."
Bio,Endocrine System,"Glucagon is released when blood glucose levels (BGL) are low. As a result, glucagon regulates BGL by promoting which of the following pathways?",Glycolysis,Gluconeogenesis,Glycogen formation,Fatty acid synthesis,B,"*Glucagon is released in response to a decreased blood glucose level (BGL) and promotes gluconeogenesis. 
*The construction of glucose from other organic precursors works to restore normal levels of glucose in the body. 
*The other choices listed would not directly increase BGL.","*Glucagon promotes gluconeogenesis, increasing the levels of glucose in the blood."
Bio,Cellular Metabolism,In what eukaryotic subcellular location does glycolysis take place?,Nucleus,Cytosol,Mitochondrial matrix,Mitochondrial intermembrane space,B,"*Glycolysis takes place in the cytoplasm of eukaryotic cells. 
*Glycolysis is the anaerobic metabolism of glucose, which results in the net production of 2 ATP and the reduced coenzyme NADH.",*Glycolysis takes place in the cytoplasm.
Bio,Cellular Metabolism,In what eukaryotic subcellular location does the Krebs cycle take place?,Nucleus,Cytosol,Mitochondrial matrix,Mitochondrial intermembrane space,C,"*In eukaryotes, the Krebs cycle occurs in the mitochondrial matrix. 
*The pyruvate formed during glycolysis is transported to the matrix, where it is decarboxylated to form acetyl-CoA. 
*The acetyl-CoA remains in the matrix where it enters the Krebs cycle. 
*The energy released through the electron transport chain is then used to pump protons from the mitochondrial matrix to the intermembrane space.","*In eukaryotes, the Krebs cycle occurs in the mitochondrial matrix."
Bio,Cellular Metabolism,"Which of the following are true of allosteric regulators of enzymes?
   I. They bind to enzymatic active sites.
   II. They bind to locations outside of the active site.
   III. They can increase the rate of reaction.
   IV. They can decrease the rate of reaction.",I only.,II only.,I and IV only.,"II, III, and IV only.",D,"*Allosteric regulators regulate the rate of reaction by binding to areas of enzymes outside of the active site. 
*These molecules can either increase or decrease the rate of reaction, depending on the properties of both the enzyme and the regulator. 
*The products of an enzymatic pathway often regulate early steps in the pathway in order to minimize waste.","*By binding to areas outside of the active site, allosteric regulators can increase or decrease the rate of reaction."
Bio,Cellular Metabolism,Chemiosmosis is a process whereby ions move down their electrochemical gradient through a selectively permeable membrane. This process is best associated with:,the rapid synthesis of antibodies in B cells.,the phosphorylation of glucose over the course of glycolysis.,proteolytic activity in the small intestines.,the process by which ATP is generated from the energy stored in a proton gradient.,D,"*Oxidative phosphorylation utilizes the energy stored in the mitochondrial proton gradient in order to synthesize ATP. 
*Protons are actively transported to the intermembrane space using the energy released from the electron transport chain.
*These protons move down their chemiosmostic gradient through ATP synthase, providing the energy necessary to phosphorylate ADP.","*Chemiosmosis is most associated with oxidative phosphorylation, a process that uses the energy stored in the mitochondrial proton gradient to synthesize ATP."
Bio,Cellular Metabolism,"
The final electron acceptor in the eukaryotic electron transport chain is:",water.,carbon dioxide.,cytochrome C.,oxygen.,D,"*The final electron acceptor in the electron transport chain is oxygen, which is reduced to water. 
*Electrons from reduced coenzymes are transferred to a series of molecules (including cytochrome C) until they are accepted by oxygen. 
*This oxygen is necessary for aerobic respiration to occur is the oxygen we inhale.","*The final electron acceptor is oxygen, which is reduced to water."
Bio,Cellular Metabolism,"The electron transport chain uses the energy stored in the electrons of reduced coenzymes to transport protons to the mitochondrial intermembrane space, an example of:",simple diffusion.,oxidative phosphorylation.,facilitated diffusion.,active transport.,D,"*The creation of the proton gradient is an example of active transport. 
*The electron transport chain couples the energy released as reduced coenzymes are oxidized with the transfer of protons to the intermembrane space. 
*Since the protons are being moved against their concentration gradient, this process requires energy and is thus active transport.",*The creation of the proton gradient is an example of active transport.
Bio,Microbiology,"During fetal development, many neurons undergo apoptosis. Apoptosis is best defined as:",programmed cell death.,rapid cell division.,altered gene expression.,production of growth signals,A,"*Apoptosis is a process through which cells die in a controlled manner.
*As opposed to death by lysis or damage, apoptosis has a minimal effect on the cell's surroundings.
*During fetal development, a large excess of neurons are produced. Many of these neurons are unnecessary and are eliminated through apoptosis to maximize efficiency.","*Apoptosis is controlled, programmed cell death."
Bio,Biological Molecules,"Which of the following are true of competitive inhibitors with respect to enzymes?
   I. They bind to enzymatic active sites.
   II. They bind to locations outside of the active site.
   III. They can increase the rate of reaction.
   IV. They can decrease the rate of reaction.",I only.,II only.,I and IV only.,"II, III, and IV only.",C,"*Competitive inhitors slow down the rate of reaction by competing with the substrate for the active site. 
*The inhibitor binds to the enzymatic active site, preventing the substrate from bindingand slowing down the rate of reaction. ",*Competitive inhitors slow the rate of reaction by competing with the substrate for the active site. 
Bio,Respiratory System,The conversion of carbon dioxide to bicarbonate in the tissues is catalyzed by:,hexokinase.,cytochrome C oxidase.,enterokinase.,carbonic anhydrase.,D,"*Carbon dioxide is converted to carbonic acid by carbonic anhydrase:
CO2 + H2O <--> H2CO3 
*Carbon dioxide is not very soluble in the blood so this conversion facillitates its efficient transfer from the tissues to the lungs. 
*In the lungs, the reverse reaction occurs to reform CO2, which is then exhaled.","*The conversion of CO2 to H2CO3 is catalyzed by carbonic anhydrase in the tissues, in order to efficient transport CO2 to the lungs."
Bio,Endocrine System,"Peptide hormones are usually large, hydrophilic molecules. As such, they are usually transported to their target tissues:",dissolved in the plasma.,bound to plasma proteins.,dissolved in the lymph.,bound to lymph proteins.,A,"*Since peptide hormones are usually large, hydrophilic molecules, they are transported to their target tissues dissolved in the plasma. 
*The circulatory system allows for more rapid transport of hormones than does the lymphatic system. 
*The plasma is primarily composed of water, which allows for easy transportation of these molecules.","*Peptide hormones are transported dissolved in the plasma.
*The circulatory system transports more rapidly than does the lymphatic system.
*Hydrophilic proteins can dissolve in the plasma (mostly water)."
Bio,Endocrine System,"Steroid hormones are usually small, hydrophobic molecules. As such, they are usually transported to their target tissues:",dissolved in the plasma.,bound to plasma proteins.,dissolved in the lymph.,bound to lymph proteins.,B,"*Since steroid hormones are small, hydrophobic molecules, they are transported to their target tissues bound to plasma proteins. 
*The circulatory system allows for more rapid transport of hormones than does the lymphatic system. 
*Because they are hydrophobic, steroid hormones must be carried through the hydrophilic plasma bound to carrier proteins like albumin.","*Steroid hormones are transported on plama carrier proteins.
*The circulatory system transports more rapidly than does the lymphatic system.
*Hydrophobic proteins won't dissolve in water."
Bio,Endocrine System,"Peptide hormones are usually large, hydrophilic molecules. As such, their receptors are usually located:",in the nucleus.,on the endoplasmic reticulum.,on the cell membrane.,in the mitochondria.,C,"*Peptide hormone receptors are located on the cell membrane. 
*Since the hormones are large and hydrophilic, they cannot pass through the primarily hydrophobic membrane. 
*The hormones bind to receptors, triggering signalling cascades or chemical changes in the cytoplasm.","*Peptide hormone receptors are located on the membrane.
*These hydrophilic molecules cannot pass through the hydrophobic membrane."
Bio,Endocrine System,"Steroid hormones are usually small, hydrophobic molecules. As such, their receptors are usually located:",in the nucleus.,on the endoplasmic reticulum.,on the cell membrane.,in the mitochondria.,A,"*Steroid hormone receptors are usually located in the cell nucleus. 
*Steroid hormones are small and hydrophobic so they can pass through the hydrophobic membrane. 
*They usually alter the rate of transcription and translation, causing long term downstream effects.","*Steroid hormone receptors are usually located in the cell nucleus. 
*Steroid hormones are hydrophobic and can pass through the hydrophobic membrane."
Bio,1C: Evolution,Which of the following is an example of natural selection?,People that learn to farm tend to live longer and pass on this trait to their children.,Individuals that exercise daily are better able to escape predators and subsequently reproduce.,"In times of stress, individuals experience rapid mutations that increase their reproductive fitness.",Short individuals can better hide from predators and are more likely to pass on this trait to their offspring.,D,"*Natural selection is the process by which heritable traits become more or less frequent within a population by affecting the reproductive success of individuals. 
*For example, short individuals might be better at hiding from predators, allowing them a greater probability of reproduction. 
*These individuals will pass on these traits to their children ho will also have a greater probability of reproductive success.",*Natural selection is the process by which heritable traits become more or less frequent within a population by affecting the reproductive success of individuals. 
Bio,1C: Evolution,Natural selection is the process by which heritable traits are selected based on their ability to affect:,intelligence.,reproductive success.,survival into old age.,mutation rate.,B,"*Natural selection is the process by which heritable traits become more or less frequent within a population by affecting the reproductive success of individuals. 
*Though survivability and intelligence might be tied to reproductive success, natural selection is directly tied to reproductive success (an intelligent person might live to old age but not have kids and therefore not pass on her genes).",*Natural selection is the process by which heritable traits become more or less frequent within a population by affecting the reproductive success of individuals. 
Bio,1C: Evolution,Heritable biological traits are:,learned behaviors that are taught to offspring.,environmental selection factors.,genetic traits that can be passed on to an organism's offspring.,acquired characteristics.,C,"*Heritable biological traits are genetic traits that can be passed on to an organism's offspring. 
*These traits may affect reproductive success and therefore may be selected for or against.",*Heritable biological traits are genetic traits that can be passed on to an organism's offspring. 
Bio,1C: Evolution,"Natural selection selects:
   I. acquired characteristics.
   II. learned behaviors.
   III. heritable genetic traits.",III only.,I and III only.,II and III only.,"I, II, and III.",A,"*Natural selection is the process by which heritable traits become more or less frequent within a population by affecting the reproductive success of individuals. 
*Acquired characteristics and learned behaviors without a genetic basis are not said to be selected for under natural selection.",*Natural selection is the process by which heritable traits become more or less frequent within a population by affecting the reproductive success of individuals. 
Bio,1C: Evolution,Fecundity is defined as:,inheritance of genetic traits.,the selection of traits that increase reproductive fitness.,the time required to reach reproductive age.,an organism's reproductive rate.,D,"*Fecundity is an organism's reproductive rate as measured by offspring produced. 
*Fecundity plays a major role in determining biological fitness.",*Fecundity is an organism's reproductive rate as measured by offspring produced.
Bio,1C: Evolution,"Biological fitness is directly dependent on:
   I. survivability.
   II. fecundity.
   III. acquired characteristics.",I only.,II only.,I and II only.,II and III only.,C,"*An organism's survivability and fecundity both contribute to its biological fitness. 
*An organism's biological fitness is measured by its ability to survive and reproduce. 
*Survivability is important in ensuring that organisms reach reproductive age. 
*Fecundity (number of offspring produced) is important in ensuring a large number of offspring are produced.
*Acquired characteristics are not passed on and are thus not considered in determining fitness.","*An organism's survivability and fecundity both contribute to its biological fitness. 
*Acquired characteristics are not passed on and are thus not considered in determining fitness."
Bio,Microbiology,All of the following are types of symbiotic interactions EXCEPT: ,mutualism.,commensalism.,parasitism.,coevolution.,D,"*Symbiosis is a long term interaction between two different species of organisms. 
*Mutualism, commensalism, and parasitism are three types of symbiosis. 
*Mutualism is a relationship in which both specific benefit. 
*Commensalism is a relationship in which one species benefits and the other is neither helped nor harmed. 
*Parasitism is a relationship in which one species benefits and the other is harmed.
*Though symbiotic relationships may form as a result of coevolution, coevoluation is not a form of symbiosis.","*Mutualism, commensalism, and parasitism are three types of symbiosis.
*Though symbiotic relationships may form as a result of coevolution, coevoluation is not a form of symbiosis."
Bio,Microbiology,A symbiotic relationship in which both participating species benefit from the interaction is an example of:,mutualism.,commensalism.,parasitism.,coevolution.,A,"*Mutualism is a symbiotic relationship in which both specific benefit. 
*Commensalism is a relationship in which one species benefits and the other is neither helped nor harmed. 
*Parasitism is a relationship in which one species benefits and the other is harmed.
*Symbiosis is a long term interaction between two different species of organisms. ",*Mutualism is a symbiotic relationship in which both specific benefit. 
Bio,Microbiology,A symbiotic relationship in which one participant benefits and the other is neither harmed or benefitted is an example of:,mutualism.,commensalism.,parasitism.,coevolution.,B,Commensalism is a symbiotic relationship in which one species benefits and the other is neither helped nor harmed. Mutualism is a relationship in which both specific benefit. Parasitism is a relationship in which one species benefits and the other is harmed. Symbiosis is a long term interaction between two different species of organisms. ,*Commensalism is a symbiotic relationship in which one species benefits and the other is neither helped nor harmed.
Bio,Microbiology,A symbiotic relationship in which one participating species benefits and the other is harmed is an example of:,mutualism.,commensalism.,parasitism.,coevolution.,C,"*Parasitism is a symbiotic relationship in which one species benefits and the other is harmed.
*Mutualism is a relationship in which both specific benefit.  
*Commensalism is a relationship in which one species benefits and the other is neither helped nor harmed. 
*Symbiosis is a long term interaction between two different species of organisms. ",*Parasitism is a symbiotic relationship in which one species benefits and the other is harmed.
Bio,Microbiology,Which of the following is an example of mutualism?,The relationship between vitamin producing gut bacteria and their human host.,The relationship between malaria and human hepatocytes.,Whales passively transport sedentary barnacles to new sources of food. ,Two humans working together to raise their young.,A,"*Mutualism is a symbiotic relationship between two differentspecies in which both species benefit from the relationship. 
*Human gut bacteria intake nutrients ingested by their human hosts and produce necessary vitamins in return. 
*Both species benefit.","*Mutualism is a relationship between two differentspecies in which both species benefit. 
*Human gut bacteria intake human ingested nutrients and produce necessary vitamins in return."
Bio,Microbiology,Which of the following is an example of commensalism?,The relationship between vitamin producing gut bacteria and their human host.,The relationship between malaria and human hepatocytes.,Whales passively transport sedentary barnacles to new sources of food. ,Two humans working together to raise their young.,C,"*Commensalism is a symbiotic relationship between two different species in which one specific benefits and the other is neither helped nor harmed. 
*Barnacles attach themselves to whales and are passively transported from one location to the next. 
*The barnacle benefits, but the whale is neither helped nor harmed (it's unlike the whale even notices a barnacle's presence).","*Commensalism is a relationship between two different species in which one specific benefits and the other is neither helped nor harmed. 
*The barnacle benefits, but the whale is neither helped nor harmed."
Bio,Microbiology,Which of the following is an example of parasitism?,The relationship between vitamin producing gut bacteria and their human host.,The relationship between malaria and human hepatocytes.,Whales passively transport sedentary barnacles to new sources of food. ,Two humans working together to raise their young.,B,"*Parasitism is a symbiotic relationship between two different species in which one species benefits and the other is harmed. 
*Upon infection, the malarial parasite moves to a hepatocyte (a liver cell) where it multiplies, eventually lysing the hepatocyte. 
*The malaria cell benefits, and the hepatocyte is harmed.","*Parasitism is a relationship between two different species in which one species benefits and the other is harmed.
*The malarial parasite infects a hepatocyte, multiplies, and then kills the hepatocyte."
Bio,Microbiology,All of the following are examples of symbiosis EXCEPT:,The relationship between vitamin producing gut bacteria and their human host.,The relationship between malaria and human hepatocytes.,Whales passively transport sedentary barnacles to new sources of food. ,Two humans working together to raise their young.,D,"*Symbiosis is a long term interaction between two different species. 
*Two humans working together to raise young is not an example of symbiosis because the organisms involved are all of the same species. 
*The others are examples of mutualism (the bacteria), commensalism (the barnacle), and parasitism (the malaria parasite), all of which are categories of symbiosis.","*Symbiosis is a long term interaction between two different species. 
*Two humans working together to raise young is not an example of symbiosis because the organisms involved are all of the same species. "
Bio,Microbiology,All of the following are structures shared between plant and animal cells EXCEPT:,cellular membrane.,cell wall.,mitochondria.,nucleolus.,B,"*Plant cells have a cell wall composed of polysaccharides that animals do not have. 
*Plant and animal cells do have mitchondria, cellular membranes, and nucleoluses.",Plant cells do have a cell wall while animals do not.
Bio,Microbiology,"Retrovirsus, like HIV, use enzymes that allow them to synthesize DNA from RNA. These enzymes are called:",reverse transcriptases.,kinases.,DNA polymerases.,RNA polymerases.,A,"*Retroviruses employ reverse transcriptase in order to synthesize DNA from their RNA genomes. 
*This DNA is then usually spliced into the host genome from where it is transcribed and translated. 
*It was initially thought that RNA was always synthesized from DNA and the process could not be reversed (the central dogma), but retroviruses provide an exception to this rule.","*Retroviruses use reverse transcriptase to make DNA from their RNA genomes.
*This DNA is then usually spliced into the host genome."
Bio,Microbiology,"Human immunodeficiency virus (HIV) targets helper T cells, cells that aid in the activation and coordination of the immune response. As the infection progresses, patients gain symptoms of acquired immune deficiency syndrome (AIDS), which, without treatment, usually results in death. For these patients, death is directly caused by:",the spread of the HIV virus to the brain.,loss of hemotapoietic cells.,opportunistic infections.,the overproduction of HIV toxins.,C,"*End stage HIV infection (AIDS) is characterized by severe immunodeficiency, which results in the prevalence of opportunistic infections. 
*With the majority of the helper T cells infected and destroyed, the immune system is unable to fully activate, leaving the body vulnerable to infections that would not experienced otherwise. 
*These infections eventually kill the patients, not HIV itself. 
*If it was not found previously, AIDS is usually diagnosed when these opportunistic infections become noticed.","*AIDS is characterized by severe immunodeficiency, which results in the prevalence of opportunistic infections. 
*These infections eventually kill the patient, not HIV itself."
Bio,Microbiology,Both bacteria and animal cells contain all of the following structures EXCEPT:,cell walls.,cell membranes.,DNA.,ribosomes.,A,"*Bacteria (and plant cells) have a cell wall composed of polysaccharies that acts as a barrier and provides structural support, but animal cells do not. 
*All cells have ribosomes, cell membranes, and DNA.","*Bacteria have polysaccharide cell walls, and animals do not.
*Ribosomes, cell membranes, and DNA are structures shared by all cells."
Bio,Microbiology,Both bacteria and animal cells contain all of the following structures EXCEPT:,enzymes.,cell membrane proteins.,RNA.,nuclei.,D,"*Bacteria are prokaryotes, which means they do not have membrane enclosed organelles, of which the nucleus is an example. 
*Animal cells are eukaryotes and do contain these organelles. 
*All cells have surface proteins, enzymes, and RNA.","*Bacteria are prokaryotes and lack membrane enclosed organelles. 
*All cells have surface proteins, enzymes, and RNA."
Bio,Microbiology,"A population of E. coli is able to double in size every twenty minutes. If a population is measured to contain 128 million cells, how many cells were there two hours before measurement?",One million cells.,Two million cells.,Four million cells.,Thirty two million cells.,B,"*Based on the data given, there were 2 million cells two hours before measurement. 
*If the cells double every twenty minutes, the cells doubled six times in the two hour period. 
*The population increases by a factor of 2^6 or 64. 
*If the final population was 128 million, then the initial population was one 64th of that or two million.","*Two hours to double every twenty minutes for a total of six doublings.
*Cell population increased by a factor of 2^6 or 64.
*Initial population = 128/64 = two million"
Orgo,Spectroscopy,"In proton NMR, what is the standard chemical shift most associated with the proton of a carboxylic acid?",1-3 ppm,7-8 ppm,9-10 ppm,11-12 ppm,D,"*Along other spectroscopic methods, proton NMR (HNMR) is used to determine the structure of organic molecules.
*An HNMR spectrum provides chemical shifts corresponding to specific hydrogen nuclei in a sample, with the chemical shift value inversely proportional to the electron density around the nucleus (shielding).
*The highly deshielded acidic proton in a carboxylic acid group has a chemical shift of 11-12 ppm.",*The highly deshielded acidic proton in a carboxylic acid group has a chemical shift of 11-12 ppm.
Orgo,Spectroscopy,"In proton NMR, what is the standard chemical shift most associated with aromatic protons?",1-3 ppm,7-8 ppm,9-10 ppm,11-12 ppm,B,"*Along other spectroscopic methods, proton NMR (HNMR) is used to determine the structure of organic molecules.
*An HNMR spectrum provides chemical shifts corresponding to specific hydrogen nuclei in a sample, with the chemical shift value inversely proportional to the electron density around the nucleus (shielding).
*The moderately deshielded protons bound to aromatic carbons (like those on benzene) generally have a chemical shift of 7-8 ppm.",*The moderately deshielded protons bound to aromatic carbons (like those on benzene) generally have a chemical shift of 7-8 ppm.
Orgo,Spectroscopy,"In proton NMR, what is the standard chemical shift most associated with an aldehyde proton?",1-3 ppm,7-8 ppm,9-10 ppm,11-12 ppm,C,"*Along other spectroscopic methods, proton NMR (HNMR) is used to determine the structure of organic molecules.
*An HNMR spectrum provides chemical shifts corresponding to specific hydrogen nuclei in a sample, with the chemical shift value inversely proportional to the electron density around the nucleus (shielding).
*The highly deshielded aldehyde proton has a chemical shift of 9-10 ppm.",*The highly deshielded aldehyde proton has a chemical shift of 9-10 ppm.
Orgo,Spectroscopy,Ultraviolet-visible (UV-vis) spectroscopy is most useful for:,identifying highly conjugated molecules.,determining the molecular masses of compounds.,identifying a variety of functional groups.,determing the structure of a molecule based on the properties of its hydrogens.,A,"*Ultraviolet-visible (UV-vis) spectroscopy is employed to test for the presence of conjugated double bonds or transition metal ions in a sample.
*The non bonding and pi electrons present in these compounds are able to absorb photons in the UV/visible spectrum and jump to next highest unoccupied molecular orbital (LUMO).","*In organic chemistry, UV-vis spectroscopy is most commonly used to test for the presence of conjugated double bonds."
Orgo,Spectroscopy,"In IR spectroscopy, the characteristic absorption of oxygen-hydrogen bonds present in hydroxy groups is closest to which of the following frequencies?",1200 cm^-1,1700 cm^-1,2300 cm^-1,3300 cm^-1,D,"*The characteristic absorption of hydroxyl (OH) groups will be around 3300 cm^-1. 
*Infrared spectroscopy measures the wavelengths of light absorbed by a given sample in order to identify functional groups present within the sample. 
*The light is absorbed by bonds in the sample that rotate and/or vibrate, with certain types of bonds (like the single bond between oxygen and hydrogen) absorbing certain characteristic wavelengths.",*The characteristic absorption of hydroxyl groups will be around 3300 cm^-1.
Orgo,Spectroscopy,"In IR spectroscopy, the characteristic absorption of nitrogen-hydrogen bonds present in amine groups is closest to which of the following frequencies?",1200 cm^-1,1700 cm^-1,2300 cm^-1,3300 cm^-1,D,"*The characteristic absorption of nitrogen-hydrogen bonds in amine groups will be around 3300 cm^-1. 
*Infrared spectroscopy measures the wavelengths of light absorbed by a given sample in order to identify functional groups present within the sample. 
*The light is absorbed by bonds in the sample that rotate and/or vibrate, with certain types of bonds (like the single bond between nitrogen and hydrogen) absorbing certain characteristic wavelengths.",*The characteristic absorption of amine groups will be around 3300 cm^-1.
Orgo,Spectroscopy,"In IR spectroscopy, the characteristic absorption of carbon-oxygen bonds present in carbonyl groups is closest to which of the following frequencies?",1200 cm^-1,1700 cm^-1,2300 cm^-1,3300 cm^-1,B,"*The characteristic absorption of carbonyl (C=O) groups will be around 1700 cm^-1. 
*Infrared spectroscopy measures the wavelengths of light absorbed by a given sample in order to identify functional groups present within the sample. 
*The light is absorbed by bonds in the sample that rotate and/or vibrate, with certain types of bonds (like the double bond between oxygen and carbon) absorbing certain characteristic wavelengths.",*The characteristic absorption of carbonyl groups will be around 1700 cm^-1.
